codigo,titulo,genero,duracion,clasificacion,idioma,fecha_estreno,fecha_fin
P001,Avatar 3,Ciencia Ficción,180,B15,Subtitulada,2026-01-15,2026-03-15
P002,Intensamente 2,Animación,100,AA,Español,2026-02-01,2026-04-01
P003,Frozen 3,Animación,102,AA,Español,2026-03-01,2026-03-08
P004,Duna 3,Ciencia Ficción,168,B15,Subtitulada,2026-03-12,2026-03-27
P005,El Gato con Botas,Animación,100,AA,Español,2026-04-01,2026-04-09
P006,Superhéroes: Origen,Acción,145,B15,Subtitulada,2026-04-15,2026-04-29
P007,Comedia en Marte,Comedia,98,A,Español,2026-05-02,2026-05-11
P008,El Terror del Bosque,Terror,112,C15,Subtitulada,2026-05-18,2026-05-31
P009,Amor en París,Romance,118,A,Español,2026-06-05,2026-06-15
P010,Los Vengadores: Nueva Era,Acción,155,B15,Inglés,2026-06-20,2026-07-02
P011,El Laberinto del Tiempo,Misterio,132,B15,Subtitulada,2026-07-08,2026-07-23
P012,La Sirenita 2,Animación,105,AA,Español,2026-07-25,2026-08-02
P013,Perros y Robots,Animación,95,AA,Subtitulada,2026-08-10,2026-08-21
P014,El Último Viaje,Drama,126,A,Español,2026-08-30,2026-09-12
P015,Aventura en la Selva,Aventura,140,B15,Subtitulada,2026-09-18,2026-09-25
P016,La Guerra de las Galaxias 10,Ciencia Ficción,150,B15,Inglés,2026-10-05,2026-10-19
P017,El Pianista Nocturno,Drama,120,A,Español,2026-10-22,2026-10-31
